motion_idx,motion_name,motion_file,completion_rate,episode_length,motion_length,avg_joint_error,avg_pose_error,max_roll,max_pitch,termination_reason,difficulty_score,joint_score,pose_score,stability_score
27,0811_static_023.pkl,/home/huanghao/source/datasets/gmr_retarget_x/v1_v2_v3_g1_numpy123/0811_static_023.pkl,1.0,3250.0,13.285372734069824,0.2325652539730072,3.2938337326049805,3.132016897201538,1.5668597221374512,unknown,891.0914961394475,23.25652539730072,329.38337326049805,538.4515974816487
28,0807_yanjie_walk_046.pkl,/home/huanghao/source/datasets/gmr_retarget_x/v1_v2_v3_g1_numpy123/0807_yanjie_walk_046.pkl,1.0,3250.0,9.54022216796875,0.36748939752578735,56.93476486206055,3.1412460803985596,1.5546385049819946,unknown,6268.334161604326,36.748939752578735,5693.476486206055,538.1087356456925
29,0807_yanjie_walk_012.pkl,/home/huanghao/source/datasets/gmr_retarget_x/v1_v2_v3_g1_numpy123/0807_yanjie_walk_012.pkl,1.0,3250.0,9.542452812194824,0.2678506076335907,8.282281875610352,3.14011812210083,1.5701982975006104,unknown,1394.7757503530652,26.78506076335907,828.2281875610352,539.762502028671
30,0807_yanjie_walk_031.pkl,/home/huanghao/source/datasets/gmr_retarget_x/v1_v2_v3_g1_numpy123/0807_yanjie_walk_031.pkl,1.0,3250.0,14.598272323608398,0.2842811942100525,2.7595553398132324,3.1412742137908936,1.5693315267562866,unknown,844.1793091692307,28.42811942100525,275.95553398132324,539.7956557669022
31,0807_yanjie_walk_004.pkl,/home/huanghao/source/datasets/gmr_retarget_x/v1_v2_v3_g1_numpy123/0807_yanjie_walk_004.pkl,1.0,3250.0,12.734214782714844,0.32667243480682373,33.41337585449219,3.1405017375946045,1.5643277168273926,unknown,3913.138571064337,32.66724348068237,3341.3375854492188,539.1337421344363
32,0811_static_010.pkl,/home/huanghao/source/datasets/gmr_retarget_x/v1_v2_v3_g1_numpy123/0811_static_010.pkl,1.0,3250.0,19.14679718017578,0.2628420293331146,0.7381656169891357,3.1157150268554688,1.5669671297073364,unknown,636.6966133767596,26.284202933311462,73.81656169891357,536.5958487445346
33,0807_yanjie_walk_011.pkl,/home/huanghao/source/datasets/gmr_retarget_x/v1_v2_v3_g1_numpy123/0807_yanjie_walk_011.pkl,1.0,3250.0,4.788455963134766,0.3010713458061218,33.19532012939453,3.1306886672973633,1.5575494766235352,unknown,3886.8716655178932,30.107134580612183,3319.532012939453,537.2325179978282
34,0807_yanjie_walk_032.pkl,/home/huanghao/source/datasets/gmr_retarget_x/v1_v2_v3_g1_numpy123/0807_yanjie_walk_032.pkl,1.0,3250.0,12.247779846191406,0.3435112535953522,3.1928703784942627,3.141533613204956,1.56110417842865,unknown,892.5207592876164,34.35112535953522,319.28703784942627,538.882596078655
35,0811_static_012.pkl,/home/huanghao/source/datasets/gmr_retarget_x/v1_v2_v3_g1_numpy123/0811_static_012.pkl,1.0,3250.0,21.61791229248047,0.22439156472682953,1.3108201026916504,3.141019344329834,1.5679913759231567,unknown,693.1340466465606,22.439156472682953,131.08201026916504,539.6128799047126
36,0811_static_002.pkl,/home/huanghao/source/datasets/gmr_retarget_x/v1_v2_v3_g1_numpy123/0811_static_002.pkl,1.0,3250.0,26.089628219604492,0.23805052042007446,1.2118827104568481,3.1399807929992676,1.5651651620864868,unknown,684.1633335266213,23.805052042007446,121.18827104568481,539.170010438929
